CountryCode,Language,IsOfficial
ITA,Sardinian,FALSE
ITA,Slovene,FALSE
JAM,Hindi,FALSE
JOR,Arabic,TRUE
JOR,Armenian,FALSE
JOR,Circassian,FALSE
JPN,Ainu,FALSE
JPN,Chinese,FALSE
JPN,English,FALSE
JPN,Japanese,TRUE
JPN,Korean,FALSE
KAZ,German,FALSE
KAZ,Kazakh,TRUE
KAZ,Russian,FALSE
KAZ,Tatar,FALSE
KAZ,Ukrainian,FALSE
KAZ,Uzbek,FALSE
KEN,Gusii,FALSE
KEN,Kalenjin,FALSE
KEN,Kamba,FALSE
KEN,Kikuyu,FALSE
KEN,Luhya,FALSE
KEN,Luo,FALSE
KEN,Masai,FALSE
KEN,Meru,FALSE
KEN,Nyika,FALSE
KEN,Turkana,FALSE
KGZ,Kazakh,FALSE
KGZ,Kirgiz,TRUE
KGZ,Russian,TRUE
KGZ,Tadzhik,FALSE
KGZ,Tatar,FALSE
KGZ,Ukrainian,FALSE
KGZ,Uzbek,FALSE
KHM,Chinese,FALSE
KHM,Khmer,TRUE
KHM,Tšam,FALSE
KHM,Vietnamese,FALSE
KIR,Kiribati,TRUE
KIR,Tuvalu,FALSE
KNA,English,TRUE
KOR,Chinese,FALSE
KOR,Korean,TRUE
KWT,Arabic,TRUE
KWT,English,FALSE
LAO,Lao,TRUE
LAO,Lao-Soung,FALSE
LAO,Mon-khmer,FALSE
LAO,Thai,FALSE
LBN,Arabic,TRUE
LBN,Armenian,FALSE
LBN,French,FALSE
LBR,Bassa,FALSE
LBR,Gio,FALSE
LBR,Grebo,FALSE
LBR,Kpelle,FALSE
LBR,Kru,FALSE
LBR,Loma,FALSE
LBR,Malinke,FALSE
LBR,Mano,FALSE
LBY,Arabic,TRUE
LBY,Berberi,FALSE
LCA,English,TRUE
LIE,German,TRUE
LIE,Italian,FALSE
LIE,Turkish,FALSE
LKA,Singali,TRUE
LKA,Tamil,TRUE
LSO,English,TRUE
LSO,Sotho,TRUE
LSO,Zulu,FALSE
LTU,Belorussian,FALSE
LTU,Lithuanian,TRUE
LTU,Polish,FALSE
LTU,Russian,FALSE
LTU,Ukrainian,FALSE
LUX,French,TRUE
LUX,German,TRUE
LUX,Italian,FALSE
LUX,Luxembourgish,TRUE
LUX,Portuguese,FALSE
LVA,Belorussian,FALSE
LVA,Latvian,TRUE
LVA,Lithuanian,FALSE
LVA,Polish,FALSE
LVA,Russian,FALSE
LVA,Ukrainian,FALSE
MAC,English,FALSE
MAC,Portuguese,TRUE
MAR,Arabic,TRUE
MAR,Berberi,FALSE
MCO,English,FALSE
MCO,French,TRUE
MCO,Italian,FALSE
MCO,Monegasque,FALSE
MDA,Bulgariana,FALSE
MDA,Gagauzi,FALSE
MDA,Romanian,TRUE
MDA,Russian,FALSE
MDA,Ukrainian,FALSE
MDG,French,TRUE
MDG,Malagasy,TRUE
MDV,Dhivehi,TRUE
MDV,English,FALSE
MEX,Mixtec,FALSE
MEX,Náhuatl,FALSE
MEX,Otomí,FALSE
MEX,Spanish,TRUE
MEX,Yucatec,FALSE
MEX,Zapotec,FALSE
MHL,English,TRUE
